interaction_id,timestamp,department,user_role,user_query,query_category,metrics_requested,analysis_type,bot_response_confidence,response_time_ms,user_feedback_rating,estimated_business_impact
INT-101396,2025-08-25 19:32:31.854977,Marketing,Executive,Compare sales performance by region,Finance,Revenue,Predictive,0.75,943,2.0,nan
INT-101397,2025-09-27 20:04:31.854983,Marketing,Intern,Show monthly revenue trend,Finance,Revenue,Predictive,0.76,1226,5.0,High
INT-101398,2025-06-20 13:59:31.854984,Sales,Analyst,What is customer churn rate?,Sales,ROI,Descriptive,0.79,678,4.0,Medium
INT-101399,2025-10-10 21:33:31.854999,Finance,Executive,Show monthly revenue trend,Marketing,Churn Rate,Predictive,0.86,1175,5.0,Low
INT-101400,2025-10-29 17:03:31.855002,Finance,Analyst,What is customer churn rate?,Sales,Revenue,Predictive,0.74,243,5.0,Medium
INT-101401,2025-07-26 11:46:31.855005,Operations,Analyst,Forecast next quarter revenue,Marketing,ROI,Trend Analysis,0.68,2402,4.0,Low
INT-101402,2026-02-07 10:38:31.855008,Operations,Analyst,Show monthly revenue trend,Finance,ROI,Trend Analysis,0.95,1146,,Low
INT-101403,2025-10-02 16:38:31.855012,Sales,Executive,Forecast next quarter revenue,Marketing,ROI,Trend Analysis,0.98,1759,4.0,Medium
INT-101404,2025-06-23 14:00:31.855016,Sales,Intern,Which campaign had highest ROI?,Finance,Churn Rate,Trend Analysis,0.61,2139,4.0,High
INT-101405,2026-01-31 07:23:31.855021,HR,Executive,Forecast next quarter revenue,Finance,Revenue,Predictive,0.81,298,3.0,Low
INT-101406,2025-06-13 20:57:31.855024,Operations,Intern,Forecast next quarter revenue,Sales,Churn Rate,Descriptive,0.73,370,,Medium
INT-101407,2025-06-19 21:33:31.855027,Marketing,Analyst,What is customer churn rate?,Sales,Conversion Rate,Trend Analysis,0.71,347,5.0,Medium
INT-101408,2025-05-02 21:11:31.855030,Finance,Manager,Which campaign had highest ROI?,Customer,Revenue,Predictive,0.73,2370,2.0,High
INT-101409,2026-02-08 21:59:31.855033,Sales,Analyst,Forecast next quarter revenue,Revenue,Churn Rate,Trend Analysis,0.85,311,4.0,Low
INT-101410,2025-07-02 10:03:31.855036,Finance,Intern,Forecast next quarter revenue,Customer,Revenue,Predictive,0.67,1222,5.0,Medium
INT-101411,2026-02-02 08:09:31.855039,Finance,Executive,Which campaign had highest ROI?,Customer,Conversion Rate,Trend Analysis,0.96,267,5.0,nan
INT-101412,2025-04-12 03:42:31.855041,HR,Analyst,Which campaign had highest ROI?,Marketing,Profit Margin,Descriptive,0.78,1027,,Medium
INT-101413,2026-01-23 06:27:31.855044,Operations,Executive,Show monthly revenue trend,Finance,ROI,Trend Analysis,0.73,1952,2.0,High
INT-101414,2025-09-08 21:48:31.855047,Sales,Executive,What is customer churn rate?,Finance,Churn Rate,Descriptive,0.9,1831,3.0,High
INT-101415,2025-09-08 20:00:31.855050,Finance,Executive,Which campaign had highest ROI?,Finance,Conversion Rate,Trend Analysis,0.61,1509,4.0,Low
INT-101416,2025-04-16 02:43:31.855053,Sales,Analyst,Which campaign had highest ROI?,Revenue,Conversion Rate,Trend Analysis,0.77,2477,2.0,nan
INT-101417,2025-07-30 20:16:31.855057,Marketing,Executive,Compare sales performance by region,Marketing,Revenue,Trend Analysis,0.74,359,3.0,High
INT-101418,2025-09-06 04:00:31.855060,HR,Executive,Which campaign had highest ROI?,Marketing,Revenue,Predictive,0.73,1984,4.0,Low
INT-101419,2025-07-12 19:20:31.855063,Marketing,Analyst,What is customer churn rate?,Finance,ROI,Predictive,0.73,2008,2.0,Medium
INT-101420,2026-02-07 14:56:31.855066,Sales,Executive,Forecast next quarter revenue,Customer,Revenue,Descriptive,0.61,2433,3.0,Medium
INT-101421,2025-07-08 12:20:31.855069,Sales,Analyst,Forecast next quarter revenue,Revenue,Churn Rate,Descriptive,0.66,1213,2.0,High
INT-101422,2025-07-12 16:26:31.855073,Operations,Intern,Forecast next quarter revenue,Customer,Churn Rate,Predictive,0.66,1076,4.0,Low
INT-101423,2025-06-01 16:45:31.855076,Finance,Intern,Forecast next quarter revenue,Sales,Churn Rate,Descriptive,0.99,751,3.0,High
INT-101424,2026-02-05 23:11:31.855079,Finance,Intern,Compare sales performance by region,Marketing,Profit Margin,Descriptive,0.61,1375,2.0,Low
INT-101425,2026-01-23 10:41:31.855082,Marketing,Executive,Which campaign had highest ROI?,Marketing,Churn Rate,Predictive,0.67,1363,4.0,High
INT-101426,2025-06-18 10:36:31.855085,HR,Manager,Forecast next quarter revenue,Customer,Revenue,Predictive,0.98,1590,1.0,Medium
INT-101427,2026-01-15 06:43:31.855089,Finance,Manager,Show monthly revenue trend,Revenue,Revenue,Predictive,0.85,1351,,Medium
INT-101428,2025-04-18 22:19:31.855092,Operations,Executive,Forecast next quarter revenue,Marketing,Churn Rate,Predictive,0.78,2394,3.0,Medium
INT-101429,2025-04-15 18:28:31.855096,Marketing,Manager,Which campaign had highest ROI?,Customer,Conversion Rate,Trend Analysis,0.63,1508,5.0,High
INT-101430,2026-01-14 23:12:31.855098,Marketing,Analyst,Forecast next quarter revenue,Revenue,Conversion Rate,Predictive,0.86,1692,3.0,Medium
INT-101431,2025-06-22 02:39:31.855100,Operations,Manager,Compare sales performance by region,Customer,Conversion Rate,Descriptive,0.65,1441,5.0,High
INT-101432,2025-11-13 19:36:31.855102,HR,Executive,What is customer churn rate?,Revenue,ROI,Trend Analysis,0.86,635,2.0,Low
INT-101433,2025-12-01 13:30:31.855104,Operations,Executive,What is customer churn rate?,Finance,Profit Margin,Trend Analysis,0.98,931,2.0,High
INT-101434,2025-07-01 01:43:31.855105,HR,Analyst,Which campaign had highest ROI?,Revenue,Churn Rate,Descriptive,0.81,1368,5.0,High
INT-101435,2025-07-03 19:25:31.855107,Operations,Intern,What is customer churn rate?,Sales,ROI,Trend Analysis,0.68,2064,2.0,Medium
INT-101436,2025-10-29 02:33:31.855109,Operations,Executive,What is customer churn rate?,Finance,Conversion Rate,Descriptive,0.84,1500,4.0,High
INT-101437,2025-10-15 15:33:31.855111,Sales,Analyst,Show monthly revenue trend,Customer,Churn Rate,Trend Analysis,0.8,1977,3.0,Medium
INT-101438,2025-07-30 10:21:31.855112,Marketing,Manager,Which campaign had highest ROI?,Finance,ROI,Trend Analysis,0.81,259,4.0,nan
INT-101439,2025-03-03 14:41:31.855114,Operations,Manager,Which campaign had highest ROI?,Finance,Revenue,Descriptive,0.79,1833,,Low
INT-101440,2025-09-06 16:10:31.855116,Operations,Analyst,What is customer churn rate?,Customer,Conversion Rate,Descriptive,0.86,1337,,Low
INT-101441,2025-06-01 21:01:31.855118,Finance,Analyst,What is customer churn rate?,Customer,ROI,Descriptive,0.82,1718,3.0,High
INT-101442,2025-08-18 05:49:31.855120,Marketing,Executive,What is customer churn rate?,Sales,Revenue,Descriptive,0.98,535,3.0,High
INT-101443,2025-04-27 10:24:31.855121,Finance,Manager,Compare sales performance by region,Customer,Conversion Rate,Predictive,0.92,1030,,Medium
INT-101444,2025-10-07 11:49:31.855123,Marketing,Analyst,Forecast next quarter revenue,Marketing,Profit Margin,Predictive,0.7,1792,5.0,nan
INT-101445,2025-11-02 20:38:31.855125,Finance,Manager,Compare sales performance by region,Marketing,Conversion Rate,Descriptive,0.88,484,1.0,Medium
INT-101446,2025-06-02 14:33:31.855127,Operations,Analyst,Which campaign had highest ROI?,Sales,Profit Margin,Predictive,0.68,2376,4.0,nan
INT-101447,2025-06-29 10:58:31.855129,Operations,Manager,Show monthly revenue trend,Revenue,Profit Margin,Descriptive,0.91,2115,2.0,Medium
INT-101448,2025-08-18 18:13:31.855131,Sales,Intern,Forecast next quarter revenue,Revenue,Profit Margin,Descriptive,0.66,2201,,Low
INT-101449,2025-12-25 20:37:31.855132,Finance,Executive,Show monthly revenue trend,Marketing,Churn Rate,Trend Analysis,0.78,1159,2.0,Medium
INT-101450,2025-10-26 13:46:31.855134,HR,Manager,Which campaign had highest ROI?,Customer,Churn Rate,Descriptive,0.91,1821,4.0,nan
INT-101451,2026-02-07 17:03:31.855136,Sales,Intern,Which campaign had highest ROI?,Sales,Profit Margin,Descriptive,0.71,270,4.0,Medium
INT-101452,2025-11-01 07:47:31.855138,Finance,Manager,Show monthly revenue trend,Revenue,Revenue,Descriptive,0.93,1321,,nan
INT-101453,2025-03-11 09:27:31.855140,Finance,Manager,Show monthly revenue trend,Revenue,Profit Margin,Descriptive,0.85,1523,5.0,High
INT-101454,2025-08-10 20:09:31.855142,Sales,Intern,Show monthly revenue trend,Finance,ROI,Trend Analysis,0.76,2423,2.0,Medium
INT-101455,2025-08-04 00:13:31.855144,Operations,Manager,Which campaign had highest ROI?,Marketing,Profit Margin,Descriptive,0.77,1083,4.0,Medium
INT-101456,2025-12-14 05:44:31.855146,Finance,Manager,What is customer churn rate?,Customer,Churn Rate,Trend Analysis,0.96,1298,,Medium
INT-101457,2025-05-31 19:20:31.855147,Operations,Executive,Show monthly revenue trend,Sales,Churn Rate,Descriptive,0.68,342,4.0,Medium
INT-101458,2025-04-27 08:50:31.855149,Sales,Intern,Forecast next quarter revenue,Revenue,ROI,Trend Analysis,0.87,1246,4.0,Low
INT-101459,2025-07-31 04:59:31.855151,Operations,Intern,Which campaign had highest ROI?,Finance,ROI,Predictive,0.88,2428,5.0,nan
INT-101460,2025-05-18 06:21:31.855153,Marketing,Analyst,Compare sales performance by region,Marketing,Conversion Rate,Trend Analysis,0.96,1268,3.0,Medium
INT-101461,2025-08-08 18:59:31.855155,HR,Manager,Compare sales performance by region,Marketing,Revenue,Trend Analysis,0.88,291,4.0,nan
INT-101462,2025-06-22 03:21:31.855157,Finance,Executive,Forecast next quarter revenue,Sales,Revenue,Descriptive,0.83,2281,2.0,Medium
INT-101463,2026-01-11 08:35:31.855158,HR,Manager,What is customer churn rate?,Revenue,Revenue,Trend Analysis,0.95,877,3.0,Medium
INT-101464,2025-11-15 20:17:31.855161,Operations,Manager,Show monthly revenue trend,Sales,Churn Rate,Trend Analysis,0.92,581,5.0,Medium
INT-101465,2025-11-03 03:42:31.855163,Finance,Analyst,Which campaign had highest ROI?,Sales,Revenue,Descriptive,0.88,1903,1.0,High
INT-101466,2025-07-23 14:51:31.855165,Operations,Manager,Show monthly revenue trend,Finance,Conversion Rate,Predictive,0.61,1165,3.0,Medium
INT-101467,2025-07-09 12:19:31.855166,Marketing,Executive,Which campaign had highest ROI?,Marketing,Conversion Rate,Predictive,0.75,1379,3.0,nan
INT-101468,2025-08-17 02:50:31.855168,Sales,Executive,Compare sales performance by region,Customer,Revenue,Predictive,0.85,2447,2.0,Medium
INT-101469,2026-01-16 14:18:31.855170,Finance,Analyst,Show monthly revenue trend,Marketing,ROI,Trend Analysis,0.8,700,5.0,nan
INT-101470,2025-05-11 06:11:31.855172,Marketing,Manager,Forecast next quarter revenue,Marketing,Conversion Rate,Descriptive,0.72,658,4.0,High
INT-101471,2025-07-12 13:30:31.855175,Marketing,Executive,What is customer churn rate?,Finance,ROI,Predictive,0.66,249,2.0,High
INT-101472,2025-05-29 08:29:31.855178,Finance,Manager,Forecast next quarter revenue,Customer,Churn Rate,Predictive,0.82,1169,3.0,Medium
INT-101473,2026-01-12 16:45:31.855181,Operations,Manager,What is customer churn rate?,Revenue,Conversion Rate,Predictive,0.71,1187,3.0,Medium
INT-101474,2025-07-17 18:35:31.855184,Marketing,Manager,Show monthly revenue trend,Customer,ROI,Predictive,0.69,731,2.0,High
INT-101475,2025-12-18 02:21:31.855187,HR,Analyst,Show monthly revenue trend,Revenue,Revenue,Descriptive,0.76,1203,5.0,Medium
INT-101476,2025-04-29 00:57:31.855190,Marketing,Manager,What is customer churn rate?,Customer,Churn Rate,Predictive,0.91,1315,3.0,High
INT-101477,2025-03-25 15:02:31.855193,Operations,Executive,Compare sales performance by region,Sales,Profit Margin,Trend Analysis,0.79,1679,5.0,High
INT-101478,2025-06-25 19:40:31.855196,Operations,Manager,Which campaign had highest ROI?,Customer,Profit Margin,Trend Analysis,0.68,538,2.0,Medium
INT-101479,2025-06-23 03:50:31.855199,HR,Executive,Forecast next quarter revenue,Finance,Revenue,Descriptive,0.65,1858,3.0,Medium
INT-101480,2025-09-23 16:36:31.855203,Marketing,Manager,Forecast next quarter revenue,Revenue,Churn Rate,Predictive,0.79,2076,1.0,Low
INT-101481,2026-01-23 14:47:31.855208,Operations,Executive,Forecast next quarter revenue,Marketing,Churn Rate,Predictive,0.91,2073,2.0,Low
INT-101482,2026-02-02 05:11:31.855210,Finance,Executive,Show monthly revenue trend,Finance,Churn Rate,Trend Analysis,0.85,2251,5.0,nan
INT-101483,2025-08-04 12:29:31.855212,Sales,Manager,Forecast next quarter revenue,Revenue,Churn Rate,Descriptive,0.69,1904,2.0,High
INT-101484,2025-04-02 14:12:31.855214,Sales,Manager,Which campaign had highest ROI?,Revenue,Profit Margin,Trend Analysis,0.77,480,1.0,Low
INT-101485,2026-02-01 08:13:31.855216,Sales,Executive,Which campaign had highest ROI?,Marketing,ROI,Descriptive,0.93,1513,,High
INT-101486,2025-12-04 11:28:31.855219,Marketing,Intern,What is customer churn rate?,Sales,Churn Rate,Descriptive,0.67,2320,4.0,Low
INT-101487,2026-01-31 17:26:31.855222,HR,Analyst,Show monthly revenue trend,Finance,ROI,Descriptive,0.81,1360,2.0,Medium
INT-101488,2025-06-14 01:29:31.855225,Operations,Intern,Which campaign had highest ROI?,Marketing,Churn Rate,Trend Analysis,0.74,1170,,Low
INT-101489,2026-01-31 17:32:31.855228,Finance,Intern,Compare sales performance by region,Marketing,Conversion Rate,Descriptive,0.65,1197,2.0,nan
INT-101490,2026-01-13 18:50:31.855232,Finance,Manager,Show monthly revenue trend,Sales,Conversion Rate,Trend Analysis,0.62,1616,5.0,nan
INT-101491,2025-12-25 17:48:31.855235,Marketing,Analyst,Show monthly revenue trend,Finance,Conversion Rate,Trend Analysis,0.82,407,1.0,Medium
INT-101492,2025-07-03 21:06:31.855238,Sales,Intern,Which campaign had highest ROI?,Marketing,Churn Rate,Predictive,0.61,459,4.0,Medium
INT-101493,2025-07-30 12:17:31.855244,Marketing,Manager,Compare sales performance by region,Sales,ROI,Trend Analysis,0.64,1129,4.0,Medium
INT-101494,2025-08-07 01:12:31.855246,HR,Intern,What is customer churn rate?,Finance,Profit Margin,Trend Analysis,0.74,462,2.0,High
INT-101495,2025-03-27 16:49:31.855248,HR,Intern,Which campaign had highest ROI?,Customer,Revenue,Predictive,0.62,982,4.0,Low
INT-101496,2025-05-01 08:24:31.855249,Operations,Manager,Compare sales performance by region,Revenue,Profit Margin,Predictive,0.76,704,4.0,Medium
INT-101497,2025-11-30 18:14:31.855251,Operations,Manager,Show monthly revenue trend,Sales,Churn Rate,Predictive,0.65,1773,5.0,High
INT-101498,2025-12-12 10:44:31.855253,HR,Manager,Compare sales performance by region,Revenue,Conversion Rate,Descriptive,0.74,402,5.0,Medium
INT-101499,2025-05-31 11:38:31.855255,HR,Analyst,Show monthly revenue trend,Customer,Conversion Rate,Descriptive,0.91,1959,4.0,Low
INT-101500,2025-03-12 17:27:31.855257,HR,Intern,Which campaign had highest ROI?,Marketing,ROI,Predictive,0.84,2213,3.0,Medium
INT-101501,2025-06-12 10:10:31.855259,Marketing,Manager,Which campaign had highest ROI?,Marketing,Churn Rate,Descriptive,0.77,2299,4.0,High
INT-101502,2025-09-14 04:30:31.855260,HR,Executive,Forecast next quarter revenue,Finance,Profit Margin,Predictive,0.64,1579,4.0,nan
INT-101503,2025-10-07 16:37:31.855262,Finance,Intern,Forecast next quarter revenue,Sales,Churn Rate,Descriptive,0.84,244,3.0,Low
INT-101504,2025-05-14 06:14:31.855264,Sales,Executive,Forecast next quarter revenue,Sales,Churn Rate,Trend Analysis,0.66,1601,4.0,Medium
INT-101505,2026-01-10 19:13:31.855266,HR,Analyst,Which campaign had highest ROI?,Finance,Conversion Rate,Descriptive,0.63,988,4.0,Medium
INT-101506,2025-08-10 22:22:31.855268,Sales,Manager,What is customer churn rate?,Revenue,Profit Margin,Descriptive,0.86,1635,,Low
INT-101507,2026-01-04 07:47:31.855270,Marketing,Executive,Which campaign had highest ROI?,Marketing,Revenue,Trend Analysis,0.96,2389,4.0,Medium
INT-101508,2025-12-27 03:48:31.855271,Sales,Analyst,Compare sales performance by region,Marketing,Conversion Rate,Predictive,0.78,2284,2.0,Low
INT-101509,2025-06-29 18:57:31.855273,Marketing,Manager,Which campaign had highest ROI?,Sales,Profit Margin,Descriptive,0.62,2292,4.0,Low
INT-101510,2025-05-08 18:18:31.855275,Finance,Executive,Which campaign had highest ROI?,Sales,ROI,Descriptive,0.94,1855,5.0,High
INT-101511,2025-12-01 08:29:31.855277,Marketing,Executive,Show monthly revenue trend,Finance,Conversion Rate,Trend Analysis,0.63,1269,5.0,Medium
INT-101512,2025-09-08 23:17:31.855279,Marketing,Analyst,Show monthly revenue trend,Customer,ROI,Trend Analysis,0.94,1875,5.0,nan
INT-101513,2025-09-25 20:14:31.855281,Operations,Manager,Show monthly revenue trend,Revenue,Conversion Rate,Trend Analysis,0.75,500,5.0,Medium
INT-101514,2025-07-22 12:07:31.855282,HR,Manager,Which campaign had highest ROI?,Customer,Churn Rate,Trend Analysis,0.74,487,3.0,Medium
INT-101515,2025-06-07 21:55:31.855284,HR,Executive,What is customer churn rate?,Customer,Profit Margin,Predictive,0.81,985,4.0,Medium
INT-101516,2025-09-01 18:32:31.855286,Finance,Executive,Compare sales performance by region,Sales,ROI,Descriptive,0.97,1465,5.0,Low
INT-101517,2025-03-25 18:43:31.855288,Finance,Executive,Compare sales performance by region,Sales,Conversion Rate,Descriptive,0.95,2005,3.0,nan
INT-101518,2025-04-05 18:38:31.855290,HR,Manager,What is customer churn rate?,Sales,ROI,Descriptive,0.78,2019,3.0,High
INT-101519,2025-09-26 15:50:31.855292,Operations,Analyst,What is customer churn rate?,Customer,Conversion Rate,Descriptive,0.87,270,5.0,Medium
INT-101520,2025-12-12 08:19:31.855293,HR,Analyst,Compare sales performance by region,Revenue,Conversion Rate,Predictive,0.83,1034,5.0,High
INT-101521,2025-09-02 18:18:31.855295,Operations,Manager,Forecast next quarter revenue,Sales,Revenue,Descriptive,0.87,811,,nan
INT-101522,2025-08-04 17:01:31.855297,Finance,Intern,Show monthly revenue trend,Marketing,Revenue,Predictive,0.92,1616,,Low
INT-101523,2025-09-12 23:40:31.855299,Sales,Analyst,Show monthly revenue trend,Revenue,Revenue,Predictive,0.61,1528,2.0,Low
INT-101524,2025-03-14 08:42:31.855301,Finance,Executive,Compare sales performance by region,Marketing,ROI,Trend Analysis,0.73,390,,Low
INT-101525,2025-11-28 20:18:31.855303,Finance,Intern,What is customer churn rate?,Revenue,Churn Rate,Trend Analysis,0.97,1947,1.0,High
INT-101526,2025-08-24 20:34:31.855305,Marketing,Intern,Forecast next quarter revenue,Sales,Conversion Rate,Descriptive,0.97,2325,4.0,Low
INT-101527,2025-12-06 02:52:31.855306,Marketing,Analyst,Compare sales performance by region,Finance,Profit Margin,Predictive,0.6,1781,2.0,Medium
INT-101528,2025-12-01 14:09:31.855308,Marketing,Intern,Show monthly revenue trend,Sales,Revenue,Trend Analysis,0.68,1828,3.0,Medium
INT-101529,2025-12-15 11:14:31.855310,Marketing,Intern,Which campaign had highest ROI?,Customer,ROI,Predictive,0.99,1088,,Medium
INT-101530,2026-01-09 01:46:31.855312,Operations,Analyst,What is customer churn rate?,Customer,ROI,Trend Analysis,0.79,216,3.0,High
INT-101531,2026-01-22 17:41:31.855314,HR,Analyst,Which campaign had highest ROI?,Revenue,ROI,Predictive,0.82,1014,4.0,Medium
INT-101532,2025-10-23 16:42:31.855316,Sales,Intern,Compare sales performance by region,Customer,Profit Margin,Descriptive,0.66,1797,2.0,Medium
INT-101533,2025-06-07 10:22:31.855317,Finance,Executive,Show monthly revenue trend,Sales,Profit Margin,Descriptive,0.95,1266,1.0,nan
INT-101534,2025-05-29 01:14:31.855319,Operations,Manager,Forecast next quarter revenue,Marketing,Revenue,Predictive,0.69,2459,3.0,Low
INT-101535,2025-06-26 23:51:31.855321,Sales,Intern,Which campaign had highest ROI?,Sales,Profit Margin,Trend Analysis,0.67,2450,4.0,Low
INT-101536,2025-07-03 16:51:31.855323,Operations,Intern,Forecast next quarter revenue,Revenue,Revenue,Trend Analysis,0.69,2225,2.0,High
INT-101537,2025-11-01 20:12:31.855325,Operations,Executive,Show monthly revenue trend,Customer,Profit Margin,Descriptive,0.96,308,3.0,High
INT-101538,2025-10-26 17:10:31.855327,Finance,Intern,Which campaign had highest ROI?,Marketing,Profit Margin,Descriptive,0.87,483,4.0,Medium
INT-101539,2025-06-12 04:29:31.855328,HR,Intern,Forecast next quarter revenue,Finance,Profit Margin,Descriptive,0.9,2160,2.0,Low
INT-101540,2025-12-01 00:35:31.855330,Marketing,Manager,Forecast next quarter revenue,Marketing,Revenue,Trend Analysis,0.75,1829,3.0,High
INT-101541,2025-05-10 14:13:31.855332,HR,Manager,Which campaign had highest ROI?,Marketing,Conversion Rate,Trend Analysis,0.95,936,,Medium
INT-101542,2025-07-28 19:04:31.855334,Finance,Manager,Show monthly revenue trend,Sales,Revenue,Descriptive,0.91,1341,3.0,High
INT-101543,2025-05-07 17:18:31.855336,Finance,Analyst,Forecast next quarter revenue,Finance,Conversion Rate,Predictive,0.89,1131,3.0,High
INT-101544,2025-10-15 08:45:31.855338,Finance,Analyst,Compare sales performance by region,Revenue,ROI,Trend Analysis,0.98,802,4.0,Low
INT-101545,2025-06-17 21:50:31.855339,Sales,Manager,Which campaign had highest ROI?,Revenue,ROI,Descriptive,0.74,1563,5.0,High
INT-101546,2025-12-21 13:07:31.855341,HR,Manager,What is customer churn rate?,Marketing,Revenue,Predictive,0.84,2024,5.0,Low
INT-101547,2025-09-24 19:35:31.855343,HR,Analyst,What is customer churn rate?,Marketing,Conversion Rate,Trend Analysis,0.95,690,,High
INT-101548,2025-09-17 04:29:31.855345,Operations,Executive,Show monthly revenue trend,Customer,Conversion Rate,Predictive,0.91,2266,1.0,High
INT-101549,2025-06-05 20:16:31.855346,Operations,Intern,Compare sales performance by region,Finance,Conversion Rate,Predictive,0.82,1398,,Medium
INT-101550,2025-06-13 08:59:31.855348,Operations,Intern,Forecast next quarter revenue,Marketing,ROI,Trend Analysis,0.63,1841,,Medium
INT-101551,2025-04-07 11:07:31.855350,Finance,Manager,What is customer churn rate?,Customer,Revenue,Descriptive,0.85,1000,5.0,Low
INT-101552,2025-11-28 15:34:31.855352,HR,Executive,Show monthly revenue trend,Finance,Churn Rate,Predictive,0.81,959,3.0,Low
INT-101553,2025-03-19 15:26:31.855354,Finance,Analyst,Compare sales performance by region,Revenue,Conversion Rate,Descriptive,0.67,1365,5.0,Medium
INT-101554,2025-11-10 07:56:31.855355,Sales,Manager,Compare sales performance by region,Customer,Conversion Rate,Trend Analysis,0.94,1686,2.0,High
INT-101555,2025-09-17 22:13:31.855357,Operations,Executive,Show monthly revenue trend,Finance,Churn Rate,Predictive,0.73,1693,5.0,Medium
INT-101556,2025-12-10 12:33:31.855359,Finance,Executive,Show monthly revenue trend,Customer,Revenue,Predictive,0.75,904,2.0,Low
INT-101557,2025-12-17 00:17:31.855361,Finance,Executive,Forecast next quarter revenue,Marketing,Conversion Rate,Predictive,0.86,1014,5.0,High
INT-101558,2025-04-18 07:46:31.855363,Sales,Analyst,Show monthly revenue trend,Sales,Revenue,Predictive,0.79,1002,4.0,Low
INT-101559,2025-09-02 05:37:31.855364,Marketing,Analyst,Forecast next quarter revenue,Revenue,Conversion Rate,Predictive,0.63,572,1.0,High
INT-101560,2025-03-04 04:43:31.855366,HR,Intern,Forecast next quarter revenue,Marketing,Profit Margin,Trend Analysis,0.75,1691,5.0,Medium
INT-101561,2025-11-29 07:44:31.855368,Marketing,Intern,Which campaign had highest ROI?,Marketing,Conversion Rate,Predictive,0.64,1661,4.0,Medium
INT-101562,2025-11-13 16:39:31.855370,Operations,Executive,Compare sales performance by region,Finance,Profit Margin,Trend Analysis,0.67,2389,4.0,Low
INT-101563,2025-12-09 12:54:31.855371,Finance,Executive,Compare sales performance by region,Customer,Revenue,Descriptive,0.6,1022,3.0,nan
INT-101564,2025-05-19 03:45:31.855373,Sales,Analyst,Compare sales performance by region,Revenue,Conversion Rate,Trend Analysis,0.67,421,5.0,Low
INT-101565,2025-03-26 09:46:31.855375,Sales,Intern,Which campaign had highest ROI?,Marketing,ROI,Predictive,0.73,1587,4.0,Low
INT-101566,2026-01-14 16:03:31.855377,HR,Executive,Forecast next quarter revenue,Finance,ROI,Descriptive,0.81,1193,3.0,Medium
INT-101567,2025-06-05 14:58:31.855379,Marketing,Intern,Forecast next quarter revenue,Revenue,Churn Rate,Trend Analysis,0.96,1411,4.0,High
INT-101568,2025-11-05 11:53:31.855381,HR,Intern,Show monthly revenue trend,Customer,ROI,Trend Analysis,0.81,2360,4.0,Low
INT-101569,2025-11-19 23:58:31.855382,Finance,Executive,Which campaign had highest ROI?,Marketing,Profit Margin,Trend Analysis,0.88,1404,4.0,High
INT-101570,2026-01-17 07:47:31.855384,HR,Analyst,Show monthly revenue trend,Marketing,ROI,Predictive,0.74,2125,3.0,High
INT-101571,2025-04-29 13:25:31.855386,Sales,Executive,Which campaign had highest ROI?,Marketing,ROI,Predictive,0.89,797,3.0,Medium
INT-101572,2025-10-28 00:41:31.855388,Sales,Executive,Show monthly revenue trend,Revenue,ROI,Trend Analysis,0.84,684,4.0,Medium
INT-101573,2025-12-10 11:15:31.855390,Operations,Intern,What is customer churn rate?,Revenue,Conversion Rate,Trend Analysis,0.78,1866,,Medium
INT-101574,2025-12-03 21:31:31.855391,Operations,Executive,Compare sales performance by region,Revenue,Churn Rate,Descriptive,0.68,2250,4.0,Medium
INT-101575,2025-08-02 14:16:31.855393,Finance,Analyst,Compare sales performance by region,Revenue,Revenue,Predictive,0.72,1701,3.0,Medium
INT-101576,2025-03-06 21:27:31.855395,Marketing,Executive,Forecast next quarter revenue,Finance,Churn Rate,Predictive,0.84,861,3.0,Low
INT-101577,2025-10-23 18:03:31.855397,HR,Analyst,What is customer churn rate?,Sales,Profit Margin,Descriptive,0.77,2314,4.0,Medium
INT-101578,2025-05-22 11:10:31.855398,Finance,Analyst,Compare sales performance by region,Finance,Conversion Rate,Trend Analysis,0.95,1754,5.0,Low
INT-101579,2025-12-22 10:39:31.855400,Operations,Intern,Forecast next quarter revenue,Marketing,Conversion Rate,Trend Analysis,0.69,2219,1.0,Medium
INT-101580,2025-11-15 00:03:31.855402,HR,Manager,What is customer churn rate?,Finance,ROI,Descriptive,0.63,1541,4.0,Medium
INT-101581,2025-06-21 02:09:31.855404,Operations,Manager,Compare sales performance by region,Customer,ROI,Trend Analysis,0.83,2345,3.0,High
INT-101582,2025-04-04 00:24:31.855406,HR,Intern,Show monthly revenue trend,Revenue,Profit Margin,Trend Analysis,0.95,1280,2.0,Medium
INT-101583,2025-09-17 01:59:31.855407,Marketing,Executive,Which campaign had highest ROI?,Customer,Conversion Rate,Descriptive,0.74,287,1.0,Low
INT-101584,2025-09-12 03:17:31.855409,Finance,Intern,What is customer churn rate?,Customer,Revenue,Descriptive,0.85,251,5.0,Low
INT-101585,2026-01-20 17:44:31.855411,HR,Analyst,Forecast next quarter revenue,Marketing,Churn Rate,Descriptive,0.69,1947,,Medium
INT-101586,2025-12-12 03:10:31.855413,Sales,Manager,What is customer churn rate?,Revenue,Conversion Rate,Trend Analysis,0.82,240,1.0,Medium
INT-101587,2025-04-21 14:12:31.855415,Sales,Intern,Forecast next quarter revenue,Customer,Revenue,Descriptive,0.91,2338,4.0,Medium
INT-101588,2025-07-08 13:29:31.855417,HR,Executive,What is customer churn rate?,Marketing,Revenue,Trend Analysis,0.94,238,2.0,Medium
